Id,Prediction
1,6
2,9
3,4
4,0
5,0
6,5
7,9
8,6
9,0
10,9
11,2
12,1
13,8
14,7
15,5
16,8
17,5
18,8
19,9
20,1
21,5
22,4
23,8
24,6
25,8
26,3
27,9
28,9
29,3
30,7
31,6
32,1
33,1
34,3
35,8
36,4
37,1
38,8
39,7
40,0
41,1
42,1
43,2
44,2
45,5
46,7
47,0
48,4
49,6
50,3
51,0
52,2
53,0
54,0
55,7
56,0
57,9
58,0
59,0
60,4
61,6
62,5
63,5
64,7
65,3
66,1
67,5
68,6
69,6
70,4
71,8
72,3
73,2
74,3
75,1
76,3
77,2
78,1
79,0
80,3
81,2
82,2
83,5
84,6
85,2
86,7
87,5
88,4
89,2
90,6
91,6
92,2
93,9
94,1
95,4
96,0
97,6
98,0
99,2
100,8
101,5
102,0
103,9
104,1
105,8
106,8
107,3
108,3
109,3
110,9
111,6
112,5
113,9
114,6
115,6
116,9
117,3
118,0
119,0
120,3
121,3
122,5
123,2
124,8
125,4
126,3
127,4
128,9
129,8
130,4
131,6
132,8
133,3
134,4
135,9
136,7
137,8
138,9
139,1
140,9
141,9
142,1
143,1
144,1
145,0
146,7
147,8
148,8
149,6
150,6
151,4
152,7
153,3
154,7
155,1
156,1
157,7
158,5
159,9
160,4
161,9
162,5
163,0
164,8
165,0
166,6
167,1
168,2
169,0
170,8
171,5
172,9
173,8
174,0
175,6
176,3
177,6
178,6
179,9
180,5
181,0
182,0
183,6
184,0
185,3
186,9
187,4
188,1
189,8
190,4
191,2
192,6
193,0
194,8
195,0
196,2
197,6
198,5
199,6
200,3
201,8
202,3
203,7
204,3
205,4
206,7
207,2
208,7
209,0
210,9
211,9
212,5
213,9
214,0
215,4
216,4
217,3
218,0
219,1
220,3
221,8
222,8
223,0
224,9
225,9
226,8
227,5
228,9
229,9
230,5
231,7
232,1
233,5
234,6
235,6
236,0
237,5
238,7
239,8
240,2
241,0
242,5
243,7
244,1
245,3
246,9
247,2
248,0
249,1
250,5
251,2
252,4
253,4
254,4
255,0
256,8
257,8
258,5
259,8
260,4
261,0
262,9
263,5
264,3
265,8
266,5
267,6
268,8
269,2
270,8
271,9
272,4
273,5
274,2
275,9
276,2
277,1
278,7
279,5
280,2
281,0
282,5
283,9
284,7
285,8
286,0
287,4
288,2
289,9
290,8
291,0
292,3
293,5
294,5
295,5
296,4
297,6
298,1
299,2
300,9
301,1
302,8
303,8
304,0
305,8
306,5
307,7
308,7
309,5
310,4
311,1
312,2
313,2
314,5
315,1
316,3
317,9
318,1
319,8
320,9
321,2
322,8
323,5
324,4
325,2
326,2
327,2
328,6
329,4
330,1
331,4
332,5
333,6
334,8
335,4
336,2
337,3
338,8
339,5
340,0
341,7
342,8
343,6
344,4
345,3
346,6
347,0
348,1
349,7
350,6
351,1
352,4
353,9
354,9
355,0
356,9
357,0
358,8
359,6
360,6
361,2
362,5
363,7
364,7
365,3
366,9
367,7
368,7
369,5
370,6
371,3
372,9
373,2
374,5
375,4
376,2
377,1
378,8
379,9
380,4
381,5
382,8
383,2
384,1
385,0
386,1
387,6
388,3
389,7
390,0
391,3
392,0
393,9
394,8
395,9
396,7
397,8
398,8
399,2
400,0
401,6
402,9
403,8
404,6
405,6
406,4
407,9
408,9
409,5
410,5
411,6
412,6
413,7
414,9
415,9
416,9
417,9
418,6
419,5
420,2
421,5
422,5
423,8
424,0
425,5
426,8
427,4
428,8
429,5
430,3
431,0
432,3
433,8
434,7
435,4
436,7
437,5
438,8
439,7
440,5
441,2
442,1
443,9
444,4
445,1
446,1
447,9
448,1
449,2
450,2
451,7
452,7
453,0
454,8
455,9
456,1
457,0
458,1
459,5
460,2
461,6
462,2
463,6
464,0
465,0
466,0
467,4
468,4
469,3
470,7
471,8
472,9
473,3
474,0
475,2
476,4
477,5
478,8
479,5
480,5
481,8
482,1
483,5
484,6
485,7
486,4
487,1
488,7
489,0
490,4
491,6
492,2
493,1
494,3
495,3
496,4
497,9
498,1
499,5
500,8
501,4
502,4
503,2
504,9
505,7
506,1
507,9
508,1
509,1
510,1
511,9
512,2
513,0
514,1
515,8
516,1
517,9
518,0
519,7
520,9
521,9
522,3
523,0
524,9
525,4
526,3
527,0
528,2
529,3
530,5
531,2
532,3
533,7
534,1
535,0
536,6
537,6
538,5
539,0
540,3
541,6
542,6
543,6
544,9
545,4
546,4
547,9
548,1
549,4
550,6
551,5
552,2
553,0
554,5
555,8
556,5
557,0
558,4
559,1
560,1
561,3
562,3
563,5
564,3
565,1
566,3
567,4
568,9
569,5
570,2
571,9
572,7
573,6
574,2
575,5
576,6
577,8
578,7
579,9
580,6
581,3
582,9
583,6
584,3
585,1
586,7
587,6
588,8
589,2
590,9
591,4
592,9
593,8
594,9
595,9
596,2
597,5
598,5
599,8
600,8
601,1
602,3
603,5
604,1
605,1
606,6
607,1
608,6
609,4
610,6
611,2
612,5
613,4
614,0
615,9
616,0
617,6
618,9
619,1
620,8
621,8
622,9
623,8
624,7
625,3
626,6
627,8
628,5
629,9
630,2
631,2
632,0
633,7
634,3
635,7
636,1
637,9
638,5
639,8
640,2
641,7
642,1
643,3
644,8
645,8
646,9
647,0
648,0
649,8
650,4
651,6
652,4
653,2
654,4
655,1
656,8
657,6
658,8
659,2
660,0
661,7
662,5
663,7
664,4
665,3
666,4
667,2
668,3
669,1
670,3
671,0
672,0
673,4
674,6
675,5
676,2
677,5
678,2
679,3
680,6
681,4
682,0
683,4
684,1
685,6
686,8
687,9
688,4
689,8
690,4
691,0
692,7
693,3
694,1
695,6
696,9
697,9
698,2
699,6
700,9
701,8
702,7
703,7
704,1
705,8
706,0
707,9
708,7
709,4
710,8
711,5
712,0
713,1
714,3
715,7
716,9
717,5
718,1
719,4
720,2
721,9
722,3
723,2
724,8
725,5
726,9
727,6
728,2
729,5
730,3
731,3
732,2
733,6
734,5
735,9
736,6
737,3
738,7
739,7
740,8
741,4
742,1
743,3
744,1
745,2
746,5
747,5
748,8
749,0
750,5
751,3
752,1
753,0
754,6
755,2
756,2
757,5
758,6
759,3
760,3
761,5
762,4
763,7
764,1
765,2
766,3
767,7
768,4
769,8
770,1
771,4
772,1
773,0
774,8
775,6
776,7
777,8
778,2
779,1
780,8
781,1
782,1
783,7
784,3
785,2
786,0
787,9
788,7
789,6
790,0
791,7
792,2
793,4
794,5
795,4
796,4
797,6
798,0
799,2
800,7
801,8
802,8
803,8
804,4
805,6
806,7
807,2
808,5
809,3
810,2
811,0
812,0
813,2
814,5
815,5
816,7
817,9
818,6
819,1
820,7
821,2
822,3
823,9
824,9
825,8
826,3
827,1
828,2
829,2
830,4
831,3
832,2
833,2
834,3
835,0
836,6
837,2
838,5
839,8
840,5
841,9
842,5
843,3
844,0
845,3
846,6
847,6
848,8
849,1
850,5
851,9
852,7
853,3
854,4
855,0
856,8
857,4
858,1
859,7
860,5
861,7
862,4
863,1
864,6
865,6
866,1
867,9
868,0
869,9
870,8
871,3
872,5
873,7
874,1
875,7
876,2
877,7
878,6
879,4
880,2
881,3
882,2
883,7
884,2
885,6
886,9
887,9
888,7
889,3
890,0
891,3
892,2
893,7
894,0
895,9
896,3
897,0
898,3
899,4
900,5
901,0
902,4
903,2
904,0
905,3
906,8
907,4
908,4
909,2
910,3
911,3
912,7
913,2
914,3
915,8
916,1
917,2
918,9
919,4
920,2
921,6
922,3
923,0
924,3
925,6
926,3
927,7
928,9
929,9
930,2
931,7
932,8
933,2
934,1
935,8
936,4
937,8
938,9
939,8
940,2
941,5
942,5
943,8
944,3
945,2
946,9
947,3
948,1
949,7
950,5
951,9
952,7
953,5
954,8
955,2
956,6
957,7
958,6
959,9
960,1
961,4
962,7
963,4
964,2
965,9
966,2
967,0
968,9
969,4
970,3
971,1
972,2
973,5
974,7
975,6
976,5
977,3
978,7
979,8
980,0
981,2
982,3
983,2
984,1
985,1
986,6
987,4
988,1
989,2
990,1
991,3
992,2
993,3
994,2
995,8
996,4
997,8
998,1
999,6
1000,0
1001,5
1002,0
1003,3
1004,9
1005,6
1006,8
1007,1
1008,3
1009,7
1010,0
1011,3
1012,0
1013,0
1014,9
1015,3
1016,7
1017,1
1018,5
1019,7
1020,4
1021,6
1022,2
1023,3
1024,8
1025,5
1026,6
1027,9
1028,3
1029,2
1030,8
1031,0
1032,9
1033,9
1034,3
1035,1
1036,5
1037,5
1038,0
1039,1
1040,2
1041,7
1042,3
1043,8
1044,6
1045,3
1046,1
1047,9
1048,3
1049,5
1050,5
1051,8
1052,9
1053,7
1054,3
1055,6
1056,9
1057,4
1058,1
1059,3
1060,7
1061,4
1062,3
1063,3
1064,7
1065,0
1066,4
1067,4
1068,6
1069,7
1070,5
1071,2
1072,3
1073,5
1074,1
1075,5
1076,7
1077,7
1078,4
1079,1
1080,9
1081,1
1082,3
1083,3
1084,9
1085,5
1086,7
1087,2
1088,1
1089,3
1090,1
1091,7
1092,0
1093,4
1094,6
1095,6
1096,5
1097,3
1098,4
1099,7
1100,5
1101,6
1102,1
1103,1
1104,1
1105,2
1106,2
1107,2
1108,0
1109,2
1110,8
1111,0
1112,3
1113,3
1114,9
1115,2
1116,8
1117,6
1118,8
1119,8
1120,5
1121,7
1122,0
1123,9
1124,5
1125,6
1126,8
1127,2
1128,4
1129,8
1130,2
1131,5
1132,3
1133,4
1134,4
1135,3
1136,4
1137,3
1138,7
1139,4
1140,4
1141,4
1142,7
1143,8
1144,0
1145,3
1146,4
1147,4
1148,6
1149,6
1150,3
1151,2
1152,9
1153,9
1154,3
1155,7
1156,4
1157,2
1158,2
1159,7
1160,7
1161,5
1162,8
1163,9
1164,7
1165,6
1166,1
1167,3
1168,2
1169,5
1170,5
1171,4
1172,0
1173,7
1174,8
1175,3
1176,2
1177,5
1178,0
1179,4
1180,4
1181,3
1182,5
1183,3
1184,9
1185,7
1186,8
1187,2
1188,2
1189,8
1190,7
1191,8
1192,8
1193,3
1194,7
1195,2
1196,4
1197,0
1198,7
1199,7
1200,0
1201,2
1202,1
1203,9
1204,9
1205,7
1206,4
1207,8
1208,4
1209,4
1210,5
1211,0
1212,2
1213,7
1214,6
1215,3
1216,7
1217,3
1218,9
1219,9
1220,8
1221,5
1222,8
1223,4
1224,1
1225,4
1226,0
1227,4
1228,4
1229,5
1230,6
1231,9
1232,2
1233,8
1234,6
1235,4
1236,7
1237,8
1238,7
1239,6
1240,3
1241,9
1242,4
1243,7
1244,9
1245,1
1246,2
1247,9
1248,8
1249,4
1250,2
1251,4
1252,3
1253,4
1254,8
1255,2
1256,9
1257,4
1258,2
1259,5
1260,8
1261,1
1262,3
1263,7
1264,0
1265,1
1266,5
1267,5
1268,4
1269,1
1270,5
1271,0
1272,4
1273,0
1274,2
1275,0
1276,1
1277,3
1278,0
1279,1
1280,9
1281,0
1282,9
1283,5
1284,6
1285,3
1286,0
1287,1
1288,4
1289,6
1290,2
1291,6
1292,8
1293,9
1294,2
1295,6
1296,2
1297,9
1298,1
1299,3
1300,7
1301,6
1302,7
1303,0
1304,4
1305,2
1306,4
1307,4
1308,6
1309,9
1310,8
1311,9
1312,9
1313,4
1314,2
1315,8
1316,0
1317,5
1318,3
1319,2
1320,9
